frequency,f3,f4,f5,c8
3.4673681,0.2,-0.314311768356234,-0.005779087712391,-0.670262934427017
3.548134,0.2,-0.323602902145615,-0.005650187798594,-0.658818863441884
3.63078,0.2,-0.333020847134577,-0.005527247496206,-0.647365630529996
3.715352,0.2,-0.342596459872154,-0.005409792232269,-0.63590408663418
3.8018932,0.2,-0.352361675391815,-0.005297298512668,-0.62443434462548
3.890451,0.2,-0.362347586304573,-0.005189219091792,-0.612955569883525
3.981071,0.2,-0.372583164155553,-0.00508499967251,-0.60146558772025
4.073803,0.2,-0.383094450994685,-0.004984085032542,-0.58996074404082
4.168694,0.2,-0.39390353534887,-0.004885932947762,-0.578436776188351
4.2657952,0.2,-0.405027494293331,-0.004790035119953,-0.566889173621552
4.365158,0.2,-0.416477503795558,-0.004695936918665,-0.555313205450506
4.4668354,0.2,-0.428258550839497,-0.004603244124325,-0.543704031633067
4.5708813,0.2,-0.440369574479055,-0.004511619879311,-0.53205615986573
4.677351,0.2,-0.452803898346332,-0.004420774354005,-0.520363728624057
4.7863001,0.2,-0.465550092898447,-0.004330450591538,-0.508620140554
4.897787,0.2,-0.478593200690903,-0.004240419512035,-0.496817616591713
5.011872,0.2,-0.491916040743114,-0.004150478627776,-0.484947178274669
5.128613,0.2,-0.505500490107168,-0.00406044951479,-0.47299823941482
5.248074,0.2,-0.51932825281924,-0.003970177073195,-0.460959932428522
5.3703184,0.2,-0.533379921459724,-0.003879540593659,-0.448822314685949
5.495409,0.2,-0.54763345499562,-0.003788465349073,-0.43657746363441
5.623413,0.2,-0.562062787045987,-0.003696922003249,-0.424219563520477
5.7543992,0.2,-0.576636520241944,-0.003604920801122,-0.411744493099356
5.8884363,0.2,-0.591317423520608,-0.003512506830761,-0.399149772655579
6.025596,0.2,-0.606063102985198,-0.003419754685696,-0.386434708818192
6.1659493,0.2,-0.620827332022647,-0.003326761985182,-0.373600985693354
6.309573,0.2,-0.635562082381167,-0.003233642112053,-0.36065243850522
6.456542,0.2,-0.650220108688422,-0.003140518920755,-0.34759430822664
6.606934,0.2,-0.664757154293416,-0.003047524445874,-0.334432336390825
6.7608284,0.2,-0.679132562444214,-0.002954798847293,-0.321172306754026
6.9183082,0.2,-0.693309381079409,-0.002862490361941,-0.307819649035969
7.0794563,0.2,-0.707254650700773,-0.002770754613346,-0.294378705806231
7.24436,0.2,-0.720939637524777,-0.002679752160591,-0.280853412898955
7.413103,0.2,-0.734340105691096,-0.002589642445977,-0.267247846174652
7.585776,0.2,-0.74743681850805,-0.002500575933423,-0.2535654695095
7.762471,0.2,-0.760216148920853,-0.002412687118573,-0.239809291973629
7.9432821,0.2,-0.772670194921646,-0.002326089035817,-0.225982411513995
8.1283044,0.2,-0.784796359187098,-0.002240868266519,-0.212086540564387
8.3176364,0.2,-0.796596399613904,-0.002157082694175,-0.198121723402997
8.5113792,0.2,-0.808075298828801,-0.002074762949415,-0.184086217199181
8.709635,0.2,-0.8192401596192,-0.001993915561673,-0.169976939546727
8.912507,0.2,-0.830099580029053,-0.001914526981754,-0.155790275323262
9.120107,0.2,-0.840662742295028,-0.001836571343218,-0.141523306438778
9.332541,0.2,-0.850937847628464,-0.001760022902228,-0.127174507340433
9.549923,0.2,-0.860930944953288,-0.001684864233592,-0.112744075637009
9.7723722,0.2,-0.870645052536319,-0.001611091495588,-0.098233991651502
10,0.2,-0.880079287299555,-0.001538719350981,-0.08290215930284
10.23293,0.2,-0.88922841374613,-0.001467782777639,-0.067578041360742
10.471284,0.2,-0.898083034295415,-0.001398334549455,-0.052279055244287
10.715192,0.2,-0.90663030370089,-0.001330440661581,-0.037008938529052
10.96478,0.2,-0.914855087789983,-0.001264175098116,-0.021764281615022
11.220183,0.2,-0.922741589721515,-0.001199615851207,-0.00653896410321
11.481534,0.2,-0.930275507390603,-0.001136840659696,0.008673572948807
11.748973,0.2,-0.937446580057216,-0.001075922331375,0.023879390850984
12.022642,0.2,-0.944250101738485,-0.001016926036474,0.039083684633666
12.302684,0.2,-0.950685398536715,-0.000959911479712,0.054290732835873
12.589251,0.2,-0.956752753735048,-0.000904936992269,0.069503972648533
12.882492,0.2,-0.96244933377502,-0.00085206488693,0.084726094680012
13.182563,0.2,-0.967765565478509,-0.000801365385679,0.099959209335099
13.489624,0.2,-0.972685721580407,-0.000752912360138,0.11520496590673
13.80384,0.2,-0.977190404811455,-0.000706775760192,0.130464663311663
14.12537,0.2,-0.981260439597162,-0.000663013696062,0.145739315845826
14.454392,0.2,-0.984881690469047,-0.000621664436102,0.161029693312038
14.79108,0.2,-0.988048517184626,-0.000582740968271,0.176336335641252
15.135614,0.2,-0.99076529602303,-0.000546228682229,0.19165957475365
15.48817,0.2,-0.993047108357095,-0.000512084276951,0.206999573597366
15.848933,0.2,-0.99491899007678,-0.00048023688612,0.22235634135866
16.218101,0.2,-0.996414298589325,-0.000450590746093,0.237729765685615
16.59587,0.2,-0.997572785640598,-0.000423028743372,0.253119667357162
16.98244,0.2,-0.998438541397425,-0.000397417381695,0.268525815724496
17.37801,0.2,-0.999057585500572,-0.000373613063284,0.283947899520392
17.782793,0.2,-0.999475999545059,-0.000351467413669,0.299385491198208
18.19701,0.2,-0.999738610417668,-0.000330831889857,0.314838082510201
18.62087,0.2,-0.999887610237831,-0.000311563064511,0.33030513194767
19.05461,0.2,-0.999960915709563,-0.000293528595428,0.34578605568943
19.498443,0.2,-0.999990194256275,-0.000276613303443,0.361280185297899
19.952621,0.2,-0.999998625716016,-0.000260722559248,0.376786815754324
20.41738,0.2,-0.999999934220686,-0.000245781718958,0.392305152462936
20.89296,0.2,-1,-0.000231733202771,0.407834341645654
21.37962,0.2,-1,-0.000218531540234,0.423373466771713
21.877611,0.2,-1,-0.00020613763266,0.43892152953362
22.38721,0.2,-1,-0.000194517831704,0.454477499881092
22.908672,0.2,-1,-0.000183644878505,0.470040355927285
23.442283,0.2,-1,-0.000173498913026,0.485609136921348
23.988321,0.2,-1,-0.000164067874525,0.501182975301589
24.54708,0.2,-1,-0.000155346152676,
25.11886,0.2,-1,-0.000147332065163,
25.70395,0.2,-1,-0.000140024266841,
26.30267,0.2,-1,-0.00013341786521,
26.91534,0.2,-1,-0.000127503548668,
27.542291,0.2,-1,-0.000122267737118,
28.183832,0.2,-1,-0.000117692981392,
28.84032,0.2,-1,-0.000113758403357,
29.512094,0.2,-1,-0.000110438996388,
30.19952,0.2,-1,-0.000107703076251,
30.902954,0.2,-1,-0.00010550929142,
31.62278,0.2,-1,-0.000103805640805,
32.359363,0.2,-1,-0.000102529634758,
33.11311,0.2,-1,-0.000101610510646,
33.884414,0.2,-1,-0.000100975117959,
34.673683,0.2,-1,-0.000100555447028,
35.481334,0.2,-1,-0.000100293300158,
36.3078,0.2,-1,-0.000100140847822,
37.153514,0.2,-1,-0.000100059885205,
38.018932,0.2,-1,-0.000100021459822,
38.90451,0.2,-1,-0.000100005822797,
39.81071,0.2,-1,-0.000100000976458,
40.73802,0.2,-1,-0.000100000070764,
41.68693,0.2,-1,-0.000100000064204,
42.65794,0.2,-1,-0.00010000005825,
43.65157,0.2,-1,-0.000100000052706,
44.668342,0.2,-1,-0.000100000047459,
45.70881,0.2,-1,-0.000100000042456,
46.7735,0.2,-1,-0.000100000037674,
47.862991,0.2,-1,-0.000100000033107,
48.97789,0.2,-1,-0.000100000028752,
50.11873,0.2,-1,-0.000100000024604,
51.286144,0.2,-1,-0.000100000020661,
52.480751,0.2,-1,-0.000100000016915,
53.703182,0.2,-1,-0.000100000013359,
54.95409,0.2,-1,-0.000100000009986,
56.23413,0.2,-1,-0.000100000006788,
57.543991,0.2,-1,-0.000100000003754,
58.884361,0.2,-1,-0.000100000000878,
60.255954,0.2,-1,-1.00E-04,
61.6595,0.2,-1,-1.00E-04,
63.09573,0.2,-1,-1.00E-04,
64.565414,0.2,-1,-1.00E-04,
66.06933,0.2,-1,-1.00E-04,
67.608283,0.2,-1,-1.00E-04,
69.183082,0.2,-0.999999999999999,-1.00E-04,
70.79456,0.2,-1,-1.00E-04,
72.443572,0.2,-1,-1.00E-04,
